"Country","Start","End"
"Austria",2020-03-08,2020-05-06
"Belgium",2020-03-10,2020-05-08
"Bulgaria",2020-03-18,2020-05-16
"Croatia",2020-03-04,2020-05-02
"Cyprus",2020-03-19,2020-05-17
"Czechia",2020-03-11,2020-05-09
"Denmark",2020-03-09,2020-05-07
"Estonia",2020-03-18,2020-05-16
"Finland",2020-03-15,2020-05-13
"France",2020-03-05,2020-05-03
"Germany",2020-03-06,2020-05-04
"Greece",2020-03-05,2020-05-03
"Hungary",2020-03-13,2020-05-11
"Ireland",2020-03-10,2020-05-08
"Italy",2020-03-01,2020-04-29
"Latvia",2020-03-16,2020-05-14
"Lithuania",2020-03-28,2020-05-26
"Luxembourg",2020-03-19,2020-05-17
"Malta",2020-03-17,2020-05-15
"Netherlands",2020-03-07,2020-05-05
"Norway",2020-03-06,2020-05-04
"Poland",2020-03-13,2020-05-11
"Portugal",2020-03-12,2020-05-10
"Romania",2020-03-13,2020-05-11
"Slovakia",2020-03-15,2020-05-13
"Slovenia",2020-03-14,2020-05-12
"Spain",2020-03-06,2020-05-04
"Sweden",2020-03-06,2020-05-04
"Switzerland",2020-03-06,2020-05-04
"United.Kingdom",2020-03-06,2020-05-04
