Train,Val
32.091434478759766,27.99386215209961
16.901941299438477,15.398884773254395
9.103535652160645,8.69194221496582
4.63282585144043,4.561864376068115
2.1175448894500732,2.1056087017059326
0.807134747505188,0.8020707964897156
0.22814616560935974,0.21946988999843597
0.04623178020119667,0.0421154722571373
0.01853719726204872,0.018839605152606964
0.018450038507580757,0.018052956089377403
0.018456459045410156,0.01818823628127575
0.018554450944066048,0.020712563768029213
0.019012531265616417,0.017090490087866783
0.018423063680529594,0.01828748732805252
0.018918633460998535,0.016757957637310028
0.019051743671298027,0.0170249342918396
0.018443947657942772,0.018337178975343704
0.019183728843927383,0.016797879710793495
0.018632307648658752,0.019969122484326363
0.01876259408891201,0.020431218668818474
